,traveled_kilometers,production_year,color,exhibition,adـtype,name_brand,car_name,fuel,engine_status,chassis_status,front_chassis,rear_chassis,body_status,insurance,gearbox,exchange,price
7,300000.0,1388.0,سبز,,,پژو 405 GLX - دوگانه سوز CNG,pjw 405 GLX - dwgnh swz CNG,دوگانه‌سوز شرکتی,,,,,رنگ‌شدگی,,,,170000000.0
8,180000.0,1379.0,اطلسی,,,پراید صندوق‌دار بنزینی,pryd Sndwqdr bnzyny,بنزینی,سالم,,ضربه‌خورده,سالم و پلمپ,رنگ‌شدگی,1.0,دنده‌ای,,110000000.0
9,83000.0,1397.0,سفید,رایان خودرو,,ام‌وی‌ام X33 S اسپرت,mwym X33 S sprt,,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,1.0,اتوماتیک,,900000000.0
10,90000.0,1393.0,مشکی,,,جک J3 هاچبک,jkh J3 hchbkh,,سالم,سالم و پلمپ,,,خط و خش جزیی,1.0,دنده‌ای,هستم,350000000.0
11,5000.0,1400.0,بادمجانی,,فروشی,پژو 206 تیپ ۲,pjw 206 typ 2,بنزینی,,,,,خط و خش جزیی,,,,650000000.0
12,120000.0,2013.0,سفید,,فروشی,بی‌ام‌و X1 18i,bymw X1 18i,,سالم,سالم و پلمپ,,,رنگ‌شدگی,9.0,اتوماتیک,,111111111.0
13,155000.0,1389.0,نقره‌ای,,,پراید 111 SL,pryd 111 SL,بنزینی,سالم,,ضربه‌خورده,سالم و پلمپ,رنگ‌شدگی,1.0,دنده‌ای,,168000000.0
14,120900.0,1395.0,سفید,,,چری تیگو 5 اکسلنت,chry tygw 5 khslnt,,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,6.0,اتوماتیک,,900000000.0
15,43000.0,1399.0,سفید,,,پراید 131 SE,pryd 131 SE,بنزینی,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,9.0,دنده‌ای,,255000000.0
16,0.0,1402.0,مشکی,,فروشی,کی‌ام‌سی T8,khymsy T8,,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,1.0,دنده‌ای,,700000000.0
17,130000.0,1392.0,سفید,,,پراید 131 EX,pryd 131 EX,بنزینی,سالم,,ضربه‌خورده,سالم و پلمپ,رنگ‌شدگی,1.0,دنده‌ای,هستم,200000000.0
18,200000.0,2012.0,سفید,,فروشی,لکسوس RX 350,lkhsws RX 350,,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,6.0,اتوماتیک,هستم,111111111.0
19,26000.0,1398.0,سفید,,,پراید 131 SE,pryd 131 SE,بنزینی,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,8.0,دنده‌ای,,280000000.0
20,119000.0,2015.0,سفید,,فروشی,تویوتا کرولا GLI 2000cc,twywt khrwl GLI 2000cc,,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,1.0,اتوماتیک,,0.0
21,52000.0,1399.0,مشکی,,,چری آریزو 5TE اکسلنت توربو,chry aryzw 5TE khslnt twrbw,,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,2.0,اتوماتیک,هستم,940000000.0
22,9000.0,1401.0,مشکی,,,پژو 206 تیپ ۳,pjw 206 typ 3,بنزینی,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,7.0,دنده‌ای,,500000000.0
23,,,,,,,,,,,,,,,,,
0,0.0,1401.0,سفید,,فروشی,فونیکس تیگو 8 پرو,fwnykhs tygw 8 prw,,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,8.0,اتوماتیک,,750000000.0
1,30000.0,1399.0,سفید,,,پژو 206 تیپ ۵,pjw 206 typ 5,بنزینی,سالم,سالم و پلمپ,,,خط و خش جزیی,6.0,دنده‌ای,هستم,545000000.0
2,94000.0,1397.0,مشکی,,فروشی,چری آریزو 5TE اکسلنت توربو,chry aryzw 5TE khslnt twrbw,,سالم,سالم و پلمپ,,,خط و خش جزیی,8.0,اتوماتیک,هستم,850000000.0
3,600.0,1402.0,قهوه‌ای,,,تارا دنده‌ای,tr dndhy,بنزینی,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,9.0,دنده‌ای,هستم,750000000.0
4,0.0,1402.0,مشکی,,,فردا T5,frd T5,,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,,اتوماتیک,هستم,700000000.0
5,190000.0,1395.0,زرد,,,پژو 405 GLX - دوگانه سوز CNG,pjw 405 GLX - dwgnh swz CNG,دوگانه‌سوز شرکتی,سالم,سالم و پلمپ,,,خط و خش جزیی,3.0,دنده‌ای,,285000000.0
6,105.0,1397.0,سفید,,فروشی,برلیانس H320 دنده‌ای 1650cc,brlyns H320 dndhy 1650cc,,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,7.0,دنده‌ای,,111111111.0
7,135744.0,1389.0,سفید,,,پراید 132 ساده,pryd 132 sdh,بنزینی,سالم,,ضربه‌خورده,سالم و پلمپ,خط و خش جزیی,9.0,دنده‌ای,,16000000.0
